what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1338140759102
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1338140759306
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1338140759562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1338140759868
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1338140764466
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1338140764531
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1338140764655
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1338140764668
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1338140764784
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1338140764832
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1338140764904
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1338140765059
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1338140765253
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1338140765269
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1338140765313
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1338140766239
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1338140775306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1338140776290
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1338140777433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140797416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140800117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140800196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140801617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140804395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140805141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140858211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140879832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140892115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140892178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338140892342
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338140899961
